date_created,user_name,user_location,user_description,user_verified,date,text,favorite_count,retweet_count,screen_name,hashtags,source
2022-02-14 23:59:59+00:00,THE INCORRUPTIBLE,,UNIVERSE MYSTERIES SOLVED UNIVERSE Detective Cryptozoologist. a Spiritual detective.,False,2022-02-14 23:59:59+00:00,I feel like Leader is being accused of kidnapping humans on this planet. #ufo https://t.co/AznaoMtcmf,0,0,ELKOSIPENTE,['ufo'],Twitter for iPhone
2022-02-14 23:59:58+00:00,F Dahir,,THAT'S GREAT,False,2022-02-14 23:59:58+00:00,"@SweMFA YOU ARE KIDNAPPING CHILDREN CZ OF THEIR PARENT'S FAITH AND CULTURE BACK GROUNDS, YOUR SOCIAL SERVICE  TELLI… https://t.co/sME7fe0plM",0,0,fdahir555,,Twitter for Android
2022-02-14 23:57:30+00:00,Dusty Nova,,,False,2022-02-14 23:57:30+00:00,The October Crisis involved arrests of conspirators to kidnapping and murder.,0,0,svendsen1229,,Twitter for Android
2022-02-14 23:57:07+00:00,Queen of Momos 🇳🇵,Kentucky,"Mothered by mountains 🇳🇵
Resident #Ravenclaw @potterpod #CardNation",False,2022-02-14 23:57:07+00:00,"Some shit happens - Boy 1 is supposed to be engaged to Girl 2 but insults her so she slaps him so you get revenge,… https://t.co/CPOFOKEEe0",0,0,ethnicninja,,Twitter for Android
2022-02-14 23:57:01+00:00,Omar Mohamed,,,False,2022-02-14 23:57:01+00:00,@MaroNon6 Stop kidnapping muslims kids stop being terrorists against muslims kids,0,0,OmarMoh87349440,,Twitter for Android
2022-02-14 23:55:13+00:00,WhiskeyCactus,,"video games

Tales | FE3H | NieR | Gravity Rush | Zelda | Horizon | Pokemon | ACNH

https://t.co/XuVywYpuZp",False,2022-02-14 23:55:13+00:00,Continuing our #TalesOfTheAbyss playthrough tonight! It's time to head into Choral Castle and maybe learn a little… https://t.co/yHjgMaxnm7,1,0,WhiskeyCactus,['TalesOfTheAbyss'],Twitter Web App
2022-02-14 23:55:12+00:00,Jim Storrie,Edmonton,widely and wisely disliked,False,2022-02-14 23:55:12+00:00,"@Iron_Spike for those who are wondering, the answer is yes, kidnapping the pope can in fact get him to sign your di… https://t.co/5ORs8gnjFV",0,0,JimStorrie,,Twitter Web App
2022-02-14 23:55:06+00:00,RoxOboxDC,The District,"Box of Rocks
Occasionally DC stuff
HouseHunters addict",False,2022-02-14 23:55:06+00:00,"@cakotz Definitely just keep killing the pope, but kidnapping could be interesting. I wonder if you get a two popes situation.",0,0,RoxOboxDc,,Twitter for Android
2022-02-14 23:54:17+00:00,JD - Back to Yu Narukami,,"Play Majora’s Mask | Legend of Zelda, Megaten, and Ninjago fan",False,2022-02-14 23:54:17+00:00,@Crut783 @Skylandersfan69 Okay the reason why the nadakhan kidnapping works whereas other instances of that trope a… https://t.co/UMd8crGPNA,2,0,MMEnjoyer,,Twitter for iPhone
2022-02-14 23:53:26+00:00,saddam Al barhi,"Berlin, Deutschland",,False,2022-02-14 23:53:26+00:00,"What they are doing is worst than Nazi!!
Stop kidnapping the children from their Mam, dad, sister, and brother.. fr… https://t.co/VtXOIjxnQb",7,4,saddamalreeqi,,Twitter for Android
